C:\Users\oper\labQT\Lab2025\QTLab2526\SinglePhoton\VNA\CRIO_measures_new\PC2_1_1_P5_3PORT.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[Z33]-PC2_1_1_P5_3PORT
5.15,46.2189
5.2,46.1038
5.25,45.989
5.3,45.8746
5.35,45.7605
5.4,45.6467
5.45,45.5333
5.5,45.4201
5.55,45.3073
5.6,45.1946
5.65,45.0822
5.7,44.97
5.75,44.858
5.8,44.7462
5.85,44.6346
5.9,44.5231
5.95,44.4117
6,44.3005
6.05,44.1893
6.1,44.0783
6.15,43.9673
6.2,43.8563
6.25,43.7454
6.3,43.6345
6.35,43.5236
6.4,43.4127
6.45,43.3018
6.5,43.1909
6.55,43.0798
6.6,42.9687
6.65,42.8575
6.7,42.7462
6.75,42.6348
6.8,42.5232
6.85,42.4115
6.9,42.2996
6.95,42.1875
7,42.0753
7.05,41.9628
7.1,41.85
7.15,41.737
7.2,41.6238
7.25,41.5102
7.3,41.3964
7.35,41.2822
7.4,41.1677
7.45,41.0529
7.5,40.9376
7.55,40.822
7.6,40.706
7.65,40.5895
7.7,40.4726
7.75,40.3552
7.8,40.2373
7.85,40.119
7.9,40
7.95,39.8806
8,39.7606
8.05,39.6399
8.1,39.5187
8.15,39.3968
8.2,39.2743
8.25,39.1511
8.3,39.0271
8.35,38.9025
8.4,38.7771
8.45,38.6508
8.5,38.5238
8.55,38.3959
8.6,38.2672
8.65,38.1376
8.7,38.007
8.75,37.8755
8.8,37.743
8.85,37.6094
8.9,37.4748
8.95,37.3391
9,37.2023
9.05,37.0643
9.1,36.9251
9.15,36.7846
9.2,36.6429
9.25,36.4998
9.3,36.3553
9.35,36.2094
9.4,36.062
9.45,35.9131
9.5,35.7627
9.55,35.6106
9.6,35.4568
9.65,35.3012
9.7,35.1439
9.75,34.9846
9.8,34.8234
9.85,34.6603
9.9,34.495
9.95,34.3275
10,34.1578
10.05,33.9858
10.1,33.8113
10.15,33.6343
10.2,33.4548
10.25,33.2724
10.3,33.0873
10.35,32.8992
10.4,32.708
10.45,32.5136
10.5,32.3158
10.55,32.1146
10.6,31.9097
10.65,31.701
10.7,31.4883
10.75,31.2714
10.8,31.0501
10.85,30.8243
10.9,30.5935
10.95,30.3577
11,30.1166
11.05,29.8697
11.1,29.617
11.15,29.3579
11.2,29.0922
11.25,28.8193
11.3,28.539
11.35,28.2507
11.4,27.9539
11.45,27.6481
11.5,27.3325
11.55,27.0065
11.6,26.6694
11.65,26.3202
11.7,25.9579
11.75,25.5816
11.8,25.1899
11.85,24.7816
11.9,24.3549
11.95,23.908
12,23.4389
12.05,22.9451
12.1,22.4237
12.15,21.8713
12.2,21.2838
12.25,20.6562
12.3,19.9825
12.35,19.2551
12.4,18.4644
12.45,17.598
12.5,16.6395
12.55,15.5666
12.6,14.3476
12.65,12.9359
12.7,11.2583
12.75,9.19086
12.8,6.49881
12.85,2.6586
12.9,-3.72436
12.95,-7.1487
13,0.562988
13.05,5.11802
13.1,8.13875
13.15,10.3832
13.2,12.1649
13.25,13.6406
13.3,14.8991
13.35,15.9955
13.4,16.9665
13.45,17.8376
13.5,18.6271
13.55,19.3488
13.6,20.0134
13.65,20.6291
13.7,21.2024
13.75,21.7388
13.8,22.2427
13.85,22.7177
13.9,23.1668
13.95,23.5928
14,23.9978
14.05,24.3838
14.1,24.7524
14.15,25.1051
14.2,25.4433
14.25,25.7679
14.3,26.0801
14.35,26.3808
14.4,26.6706
14.45,26.9505
14.5,27.221
14.55,27.4828
14.6,27.7363
14.65,27.982
14.7,28.2205
14.75,28.4521
14.8,28.6772
14.85,28.8961
14.9,29.1092
14.95,29.3168
15,29.5191
15.05,29.7164
15.1,29.9089
15.15,30.0969
15.2,30.2805
15.25,30.46
15.3,30.6355
15.35,30.8073
15.4,30.9753
15.45,31.1399
15.5,31.3011
15.55,31.4591
15.6,31.614
15.65,31.766
15.7,31.915
15.75,32.0613
15.8,32.205
15.85,32.3461
15.9,32.4847
15.95,32.6209
16,32.7548
16.05,32.8864
16.1,33.0159
16.15,33.1433
16.2,33.2687
16.25,33.3921
16.3,33.5136
16.35,33.6333
16.4,33.7512
16.45,33.8674
16.5,33.9819
16.55,34.0948
16.6,34.2061
16.65,34.3159
16.7,34.4242
16.75,34.531
16.8,34.6364
16.85,34.7403
16.9,34.8429
16.95,34.9442
17,35.0442
17.05,35.143
17.1,35.2406
17.15,35.337
17.2,35.4323
17.25,35.5264
17.3,35.6195
17.35,35.7115
17.4,35.8025
17.45,35.8924
17.5,35.9814
17.55,36.0694
17.6,36.1565
17.65,36.2427
17.7,36.3279
17.75,36.4123
17.8,36.4958
17.85,36.5785
17.9,36.6603
17.95,36.7414
18,36.8217
18.05,36.9012
18.1,36.98
18.15,37.058
18.2,37.1353
18.25,37.212
18.3,37.2879
18.35,37.3632
18.4,37.4378
18.45,37.5117
18.5,37.5851
18.55,37.6578
18.6,37.7299
18.65,37.8014
18.7,37.8724
18.75,37.9428
18.8,38.0126
18.85,38.0819
18.9,38.1506
18.95,38.2189
19,38.2866
19.05,38.3539
19.1,38.4206
19.15,38.4869
19.2,38.5528
19.25,38.6181
19.3,38.6831
19.35,38.7476
19.4,38.8117
19.45,38.8754
19.5,38.9387
19.55,39.0016
19.6,39.0641
19.65,39.1262
19.7,39.188
19.75,39.2495
19.8,39.3106
19.85,39.3714
19.9,39.4319
19.95,39.4921
20,39.552
C:\Users\oper\labQT\Lab2025\QTLab2526\SinglePhoton\VNA\CRIO_measures_new\PC2_1_1_P5_3PORT.son DE_EMBEDDED Lk=5.0
FREQUENCY (GHz), DB[Z33]-PC2_1_1_P5_3PORT
2,55.6693
2.05,55.4432
2.1,55.2219
2.15,55.0053
2.2,54.7931
2.25,54.585
2.3,54.3809
2.35,54.1806
2.4,53.9839
2.45,53.7907
2.5,53.6008
2.55,53.414
2.6,53.2303
2.65,53.0494
2.7,52.8713
2.75,52.6959
2.8,52.523
2.85,52.3526
2.9,52.1845
2.95,52.0186
3,51.8549
3.05,51.6933
3.1,51.5337
3.15,51.376
3.2,51.2202
3.25,51.0661
3.3,50.9137
3.35,50.763
3.4,50.6139
3.45,50.4662
3.5,50.3201
3.55,50.1754
3.6,50.032
3.65,49.8899
3.7,49.7491
3.75,49.6096
3.8,49.4711
3.85,49.3339
3.9,49.1977
3.95,49.0625
4,48.9284
4.05,48.7952
4.1,48.663
4.15,48.5316
4.2,48.4011
4.25,48.2715
4.3,48.1426
4.35,48.0145
4.4,47.8872
4.45,47.7605
4.5,47.6345
4.55,47.5092
4.6,47.3845
4.65,47.2604
4.7,47.1368
4.75,47.0138
4.8,46.8913
4.85,46.7693
4.9,46.6478
4.95,46.5267
5,46.406
5.05,46.2857
5.1,46.1658
5.15,46.0463
5.2,45.9271
5.25,45.8082
5.3,45.6895
5.35,45.5712
5.4,45.4531
5.45,45.3352
5.5,45.2176
5.55,45.1001
5.6,44.9828
5.65,44.8656
5.7,44.7486
5.75,44.6317
5.8,44.5149
5.85,44.3981
5.9,44.2815
5.95,44.1648
6,44.0482
6.05,43.9315
6.1,43.8149
6.15,43.6982
6.2,43.5815
6.25,43.4647
6.3,43.3478
6.35,43.2308
6.4,43.1136
6.45,42.9963
6.5,42.8789
6.55,42.7613
6.6,42.6434
6.65,42.5254
6.7,42.4071
6.75,42.2885
6.8,42.1697
6.85,42.0506
6.9,41.9311
6.95,41.8113
7,41.6912
7.05,41.5707
7.1,41.4498
7.15,41.3284
7.2,41.2067
7.25,41.0844
7.3,40.9617
7.35,40.8385
7.4,40.7147
7.45,40.5904
7.5,40.4655
7.55,40.3401
7.6,40.214
7.65,40.0872
7.7,39.9598
7.75,39.8316
7.8,39.7028
7.85,39.5731
7.9,39.4427
7.95,39.3115
8,39.1794
8.05,39.0465
8.1,38.9126
8.15,38.7778
8.2,38.6421
8.25,38.5053
8.3,38.3675
8.35,38.2286
8.4,38.0886
8.45,37.9474
8.5,37.8051
8.55,37.6615
8.6,37.5166
8.65,37.3704
8.7,37.2228
8.75,37.0738
8.8,36.9233
8.85,36.7713
8.9,36.6177
8.95,36.4625
9,36.3056
9.05,36.1469
9.1,35.9864
9.15,35.824
9.2,35.6597
9.25,35.4933
9.3,35.3248
9.35,35.1541
9.4,34.9812
9.45,34.8059
9.5,34.6282
9.55,34.4479
9.6,34.2649
9.65,34.0792
9.7,33.8906
9.75,33.699
9.8,33.5042
9.85,33.3062
9.9,33.1048
9.95,32.8999
10,32.6912
10.05,32.4786
10.1,32.2619
10.15,32.041
10.2,31.8155
10.25,31.5853
10.3,31.3502
10.35,31.1099
10.4,30.864
10.45,30.6123
10.5,30.3545
10.55,30.0902
10.6,29.8191
10.65,29.5406
10.7,29.2544
10.75,28.9599
10.8,28.6566
10.85,28.3439
10.9,28.0211
10.95,27.6874
11,27.3422
11.05,26.9843
11.1,26.6128
11.15,26.2265
11.2,25.8242
11.25,25.4042
11.3,24.9649
11.35,24.5043
11.4,24.02
11.45,23.5095
11.5,22.9694
11.55,22.3961
11.6,21.7849
11.65,21.1303
11.7,20.4254
11.75,19.6616
11.8,18.8276
11.85,17.9091
11.9,16.8863
11.95,15.7321
12,14.4071
12.05,12.851
12.1,10.9652
12.15,8.5722
12.2,5.30299
12.25,0.214325
12.3,-7.91251
12.35,-1.49571
12.4,4.27522
12.45,7.81727
12.5,10.34
12.55,12.2933
12.6,13.8848
12.65,15.2265
12.7,16.3856
12.75,17.4054
12.8,18.3154
12.85,19.1367
12.9,19.8848
12.95,20.5717
13,21.2063
13.05,21.796
13.1,22.3466
13.15,22.863
13.2,23.3489
13.25,23.8079
13.3,24.2426
13.35,24.6554
13.4,25.0484
13.45,25.4234
13.5,25.7819
13.55,26.1253
13.6,26.4548
13.65,26.7714
13.7,27.0761
13.75,27.3697
13.8,27.653
13.85,27.9267
13.9,28.1913
13.95,28.4476
14,28.6958
14.05,28.9367
14.1,29.1704
14.15,29.3976
14.2,29.6184
14.25,29.8333
14.3,30.0425
14.35,30.2463
14.4,30.4451
14.45,30.639
14.5,30.8282
14.55,31.0131
14.6,31.1937
14.65,31.3702
14.7,31.543
14.75,31.712
14.8,31.8774
14.85,32.0395
14.9,32.1983
14.95,32.3539
15,32.5066
15.05,32.6563
15.1,32.8032
15.15,32.9474
15.2,33.089
15.25,33.2282
15.3,33.3648
15.35,33.4992
15.4,33.6313
15.45,33.7611
15.5,33.8889
15.55,34.0146
15.6,34.1384
15.65,34.2602
15.7,34.3801
15.75,34.4982
15.8,34.6146
15.85,34.7293
15.9,34.8423
15.95,34.9538
16,35.0636
16.05,35.172
16.1,35.2788
16.15,35.3843
16.2,35.4883
16.25,35.591
16.3,35.6924
16.35,35.7925
16.4,35.8913
16.45,35.9889
16.5,36.0853
16.55,36.1806
16.6,36.2747
16.65,36.3677
16.7,36.4596
16.75,36.5505
16.8,36.6404
16.85,36.7293
16.9,36.8172
16.95,36.9041
17,36.9901
17.05,37.0752
17.1,37.1595
17.15,37.2428
17.2,37.3253
17.25,37.407
17.3,37.4878
17.35,37.5679
17.4,37.6472
17.45,37.7257
17.5,37.8035
17.55,37.8806
17.6,37.957
17.65,38.0326
17.7,38.1076
17.75,38.182
17.8,38.2557
17.85,38.3287
17.9,38.4011
17.95,38.4729
18,38.5442
18.05,38.6148
18.1,38.6848
18.15,38.7543
18.2,38.8232
18.25,38.8916
18.3,38.9595
18.35,39.0268
18.4,39.0936
18.45,39.1599
18.5,39.2258
18.55,39.2911
18.6,39.356
18.65,39.4204
18.7,39.4843
18.75,39.5478
18.8,39.6109
18.85,39.6736
18.9,39.7358
18.95,39.7976
19,39.859
19.05,39.92
19.1,39.9807
19.15,40.0409
19.2,40.1008
19.25,40.1603
19.3,40.2194
19.35,40.2782
19.4,40.3367
19.45,40.3948
19.5,40.4526
19.55,40.5101
19.6,40.5672
19.65,40.6241
19.7,40.6806
19.75,40.7369
19.8,40.7928
19.85,40.8485
19.9,40.9039
19.95,40.959
20,41.0138
C:\Users\oper\labQT\Lab2025\QTLab2526\SinglePhoton\VNA\CRIO_measures_new\PC2_1_1_P5_3PORT.son DE_EMBEDDED Lk=6.0
FREQUENCY (GHz), DB[Z33]-PC2_1_1_P5_3PORT
2,55.647
2.05,55.4197
2.1,55.1972
2.15,54.9793
2.2,54.7658
2.25,54.5564
2.3,54.351
2.35,54.1493
2.4,53.9512
2.45,53.7566
2.5,53.5652
2.55,53.3769
2.6,53.1917
2.65,53.0093
2.7,52.8296
2.75,52.6525
2.8,52.478
2.85,52.3058
2.9,52.136
2.95,51.9683
3,51.8028
3.05,51.6394
3.1,51.4779
3.15,51.3182
3.2,51.1604
3.25,51.0043
3.3,50.8499
3.35,50.6971
3.4,50.5458
3.45,50.396
3.5,50.2476
3.55,50.1006
3.6,49.9549
3.65,49.8105
3.7,49.6673
3.75,49.5252
3.8,49.3843
3.85,49.2445
3.9,49.1057
3.95,48.9679
4,48.831
4.05,48.6951
4.1,48.56
4.15,48.4258
4.2,48.2924
4.25,48.1598
4.3,48.0279
4.35,47.8967
4.4,47.7662
4.45,47.6363
4.5,47.5071
4.55,47.3784
4.6,47.2503
4.65,47.1228
4.7,46.9957
4.75,46.8691
4.8,46.7429
4.85,46.6172
4.9,46.4919
4.95,46.3669
5,46.2423
5.05,46.118
5.1,45.9941
5.15,45.8704
5.2,45.7469
5.25,45.6237
5.3,45.5007
5.35,45.3779
5.4,45.2552
5.45,45.1327
5.5,45.0103
5.55,44.888
5.6,44.7658
5.65,44.6436
5.7,44.5215
5.75,44.3994
5.8,44.2773
5.85,44.1551
5.9,44.0329
5.95,43.9107
6,43.7883
6.05,43.6659
6.1,43.5433
6.15,43.4205
6.2,43.2976
6.25,43.1745
6.3,43.0511
6.35,42.9276
6.4,42.8037
6.45,42.6796
6.5,42.5552
6.55,42.4304
6.6,42.3053
6.65,42.1798
6.7,42.054
6.75,41.9277
6.8,41.801
6.85,41.6738
6.9,41.5461
6.95,41.4179
7,41.2891
7.05,41.1598
7.1,41.0299
7.15,40.8994
7.2,40.7682
7.25,40.6364
7.3,40.5038
7.35,40.3705
7.4,40.2364
7.45,40.1016
7.5,39.9659
7.55,39.8294
7.6,39.692
7.65,39.5536
7.7,39.4143
7.75,39.274
7.8,39.1326
7.85,38.9902
7.9,38.8466
7.95,38.7019
8,38.556
8.05,38.4089
8.1,38.2605
8.15,38.1107
8.2,37.9596
8.25,37.807
8.3,37.6529
8.35,37.4973
8.4,37.3401
8.45,37.1812
8.5,37.0207
8.55,36.8583
8.6,36.6941
8.65,36.5279
8.7,36.3598
8.75,36.1895
8.8,36.0172
8.85,35.8426
8.9,35.6656
8.95,35.4863
9,35.3044
9.05,35.1199
9.1,34.9327
9.15,34.7426
9.2,34.5495
9.25,34.3534
9.3,34.154
9.35,33.9513
9.4,33.745
9.45,33.5351
9.5,33.3212
9.55,33.1034
9.6,32.8813
9.65,32.6547
9.7,32.4234
9.75,32.1873
9.8,31.9459
9.85,31.6991
9.9,31.4465
9.95,31.1879
10,30.9228
10.05,30.6508
10.1,30.3717
10.15,30.0848
10.2,29.7897
10.25,29.4859
10.3,29.1727
10.35,28.8496
10.4,28.5156
10.45,28.1701
10.5,27.8122
10.55,27.4407
10.6,27.0545
10.65,26.6524
10.7,26.2328
10.75,25.7941
10.8,25.3342
10.85,24.851
10.9,24.3417
10.95,23.8032
11,23.2318
11.05,22.623
11.1,21.9712
11.15,21.2698
11.2,20.5103
11.25,19.6817
11.3,18.7699
11.35,17.7558
11.4,16.6129
11.45,15.3031
11.5,13.7681
11.55,11.9135
11.6,9.57033
11.65,6.39117
11.7,1.49436
11.75,-6.96414
11.8,-1.49907
11.85,4.64234
11.9,8.32192
11.95,10.9125
12,12.9056
12.05,14.5231
12.1,15.883
12.15,17.0554
12.2,18.0852
12.25,19.0031
12.3,19.8307
12.35,20.584
12.4,21.275
12.45,21.9132
12.5,22.5058
12.55,23.0589
12.6,23.5773
12.65,24.0651
12.7,24.5255
12.75,24.9615
12.8,25.3755
12.85,25.7695
12.9,26.1453
12.95,26.5045
13,26.8485
13.05,27.1785
13.1,27.4955
13.15,27.8005
13.2,28.0944
13.25,28.378
13.3,28.6518
13.35,28.9166
13.4,29.1729
13.45,29.4213
13.5,29.6621
13.55,29.8959
13.6,30.123
13.65,30.3437
13.7,30.5585
13.75,30.7676
13.8,30.9714
13.85,31.17
13.9,31.3637
13.95,31.5528
14,31.7375
14.05,31.9179
14.1,32.0942
14.15,32.2667
14.2,32.4355
14.25,32.6008
14.3,32.7626
14.35,32.9211
14.4,33.0765
14.45,33.2289
14.5,33.3783
14.55,33.525
14.6,33.6689
14.65,33.8103
14.7,33.9491
14.75,34.0855
14.8,34.2196
14.85,34.3514
14.9,34.481
14.95,34.6085
15,34.7339
15.05,34.8574
15.1,34.9789
15.15,35.0986
15.2,35.2164
15.25,35.3325
15.3,35.447
15.35,35.5597
15.4,35.6709
15.45,35.7805
15.5,35.8885
15.55,35.9951
15.6,36.1003
15.65,36.2041
15.7,36.3065
15.75,36.4076
15.8,36.5074
15.85,36.606
15.9,36.7033
15.95,36.7995
16,36.8945
16.05,36.9883
16.1,37.0811
16.15,37.1728
16.2,37.2634
16.25,37.353
16.3,37.4416
16.35,37.5292
16.4,37.6159
16.45,37.7016
16.5,37.7864
16.55,37.8703
16.6,37.9534
16.65,38.0356
16.7,38.117
16.75,38.1975
16.8,38.2773
16.85,38.3562
16.9,38.4345
16.95,38.5119
17,38.5886
17.05,38.6646
17.1,38.7399
17.15,38.8146
17.2,38.8885
17.25,38.9618
17.3,39.0344
17.35,39.1064
17.4,39.1778
17.45,39.2486
17.5,39.3187
17.55,39.3883
17.6,39.4573
17.65,39.5258
17.7,39.5937
17.75,39.661
17.8,39.7278
17.85,39.7941
17.9,39.8599
17.95,39.9252
18,39.9899
18.05,40.0542
18.1,40.1181
18.15,40.1814
18.2,40.2443
18.25,40.3068
18.3,40.3688
18.35,40.4304
18.4,40.4916
18.45,40.5523
18.5,40.6126
18.55,40.6726
18.6,40.7322
18.65,40.7913
18.7,40.8501
18.75,40.9086
18.8,40.9666
18.85,41.0244
18.9,41.0818
18.95,41.1388
19,41.1956
19.05,41.252
19.1,41.3081
19.15,41.3639
19.2,41.4194
19.25,41.4747
19.3,41.5296
19.35,41.5843
19.4,41.6388
19.45,41.693
19.5,41.747
19.55,41.8007
19.6,41.8543
19.65,41.9076
19.7,41.9607
19.75,42.0137
19.8,42.0665
19.85,42.1192
19.9,42.1717
19.95,42.2242
20,42.2765
C:\Users\oper\labQT\Lab2025\QTLab2526\SinglePhoton\VNA\CRIO_measures_new\PC2_1_1_P5_3PORT.son DE_EMBEDDED Lk=7.0
FREQUENCY (GHz), DB[Z33]-PC2_1_1_P5_3PORT
2,55.6246
2.05,55.3962
2.1,55.1725
2.15,54.9533
2.2,54.7385
2.25,54.5279
2.3,54.3211
2.35,54.1181
2.4,53.9186
2.45,53.7225
2.5,53.5296
2.55,53.3399
2.6,53.153
2.65,52.9691
2.7,52.7878
2.75,52.609
2.8,52.4328
2.85,52.2589
2.9,52.0873
2.95,51.9179
3,51.7505
3.05,51.5851
3.1,51.4217
3.15,51.2601
3.2,51.1003
3.25,50.9421
3.3,50.7856
3.35,50.6306
3.4,50.4772
3.45,50.3251
3.5,50.1745
3.55,50.0251
3.6,49.8771
3.65,49.7302
3.7,49.5846
3.75,49.44
3.8,49.2965
3.85,49.154
3.9,49.0126
3.95,48.872
4,48.7324
4.05,48.5937
4.1,48.4557
4.15,48.3186
4.2,48.1821
4.25,48.0465
4.3,47.9114
4.35,47.7771
4.4,47.6433
4.45,47.5102
4.5,47.3776
4.55,47.2455
4.6,47.1139
4.65,46.9827
4.7,46.852
4.75,46.7217
4.8,46.5918
4.85,46.4622
4.9,46.333
4.95,46.204
5,46.0753
5.05,45.9469
5.1,45.8187
5.15,45.6906
5.2,45.5628
5.25,45.4351
5.3,45.3075
5.35,45.18
5.4,45.0526
5.45,44.9252
5.5,44.7978
5.55,44.6705
5.6,44.5431
5.65,44.4157
5.7,44.2882
5.75,44.1606
5.8,44.0328
5.85,43.905
5.9,43.777
5.95,43.6488
6,43.5203
6.05,43.3917
6.1,43.2627
6.15,43.1335
6.2,43.004
6.25,42.8741
6.3,42.7439
6.35,42.6133
6.4,42.4822
6.45,42.3507
6.5,42.2188
6.55,42.0863
6.6,41.9534
6.65,41.8199
6.7,41.6858
6.75,41.5511
6.8,41.4157
6.85,41.2797
6.9,41.143
6.95,41.0055
7,40.8673
7.05,40.7283
7.1,40.5885
7.15,40.4478
7.2,40.3062
7.25,40.1637
7.3,40.0201
7.35,39.8756
7.4,39.73
7.45,39.5833
7.5,39.4355
7.55,39.2865
7.6,39.1362
7.65,38.9847
7.7,38.8319
7.75,38.6777
7.8,38.522
7.85,38.3649
7.9,38.2062
7.95,38.0459
8,37.884
8.05,37.7203
8.1,37.5548
8.15,37.3875
8.2,37.2182
8.25,37.047
8.3,36.8736
8.35,36.6981
8.4,36.5203
8.45,36.3401
8.5,36.1575
8.55,35.9724
8.6,35.7846
8.65,35.594
8.7,35.4005
8.75,35.204
8.8,35.0043
8.85,34.8014
8.9,34.595
8.95,34.3851
9,34.1713
9.05,33.9536
9.1,33.7318
9.15,33.5056
9.2,33.2749
9.25,33.0394
9.3,32.7988
9.35,32.5529
9.4,32.3013
9.45,32.0439
9.5,31.7801
9.55,31.5098
9.6,31.2323
9.65,30.9474
9.7,30.6545
9.75,30.3531
9.8,30.0427
9.85,29.7225
9.9,29.3919
9.95,29.0501
10,28.6963
10.05,28.3293
10.1,27.9483
10.15,27.5518
10.2,27.1385
10.25,26.7068
10.3,26.2549
10.35,25.7805
10.4,25.2813
10.45,24.7542
10.5,24.1959
10.55,23.6021
10.6,22.9678
10.65,22.2868
10.7,21.5514
10.75,20.7519
10.8,19.8754
10.85,18.9052
10.9,17.8183
10.95,16.5818
11,15.1473
11.05,13.438
11.1,11.3223
11.15,8.54599
11.2,4.5203
11.25,-2.48627
11.3,-4.84264
11.35,3.22004
11.4,7.67448
11.45,10.6333
11.5,12.8387
11.55,14.5935
11.6,16.0493
11.65,17.2923
11.7,18.3763
11.75,19.3369
11.8,20.199
11.85,20.9808
11.9,21.6956
11.95,22.354
12,22.964
12.05,23.5321
12.1,24.0637
12.15,24.5631
12.2,25.0338
12.25,25.479
12.3,25.9011
12.35,26.3025
12.4,26.685
12.45,27.0503
12.5,27.3998
12.55,27.7348
12.6,28.0565
12.65,28.3658
12.7,28.6636
12.75,28.9508
12.8,29.228
12.85,29.4959
12.9,29.7551
12.95,30.0061
13,30.2495
13.05,30.4856
13.1,30.7148
13.15,30.9376
13.2,31.1543
13.25,31.3652
13.3,31.5707
13.35,31.7708
13.4,31.9661
13.45,32.1566
13.5,32.3425
13.55,32.5242
13.6,32.7017
13.65,32.8753
13.7,33.0452
13.75,33.2114
13.8,33.3741
13.85,33.5336
13.9,33.6898
13.95,33.843
14,33.9932
14.05,34.1405
14.1,34.2852
14.15,34.4271
14.2,34.5666
14.25,34.7036
14.3,34.8382
14.35,34.9705
14.4,35.1006
14.45,35.2286
14.5,35.3544
14.55,35.4783
14.6,35.6002
14.65,35.7203
14.7,35.8385
14.75,35.955
14.8,36.0697
14.85,36.1828
14.9,36.2942
14.95,36.4041
15,36.5124
15.05,36.6193
15.1,36.7247
15.15,36.8287
15.2,36.9313
15.25,37.0326
15.3,37.1326
15.35,37.2314
15.4,37.3289
15.45,37.4252
15.5,37.5203
15.55,37.6143
15.6,37.7072
15.65,37.799
15.7,37.8898
15.75,37.9795
15.8,38.0682
15.85,38.1559
15.9,38.2426
15.95,38.3284
16,38.4133
16.05,38.4973
16.1,38.5804
16.15,38.6627
16.2,38.7441
16.25,38.8247
16.3,38.9045
16.35,38.9835
16.4,39.0617
16.45,39.1392
16.5,39.216
16.55,39.292
16.6,39.3673
16.65,39.4419
16.7,39.5158
16.75,39.5891
16.8,39.6617
16.85,39.7337
16.9,39.805
16.95,39.8758
17,39.9459
17.05,40.0155
17.1,40.0844
17.15,40.1528
17.2,40.2207
17.25,40.2879
17.3,40.3547
17.35,40.4209
17.4,40.4866
17.45,40.5518
17.5,40.6165
17.55,40.6807
17.6,40.7445
17.65,40.8077
17.7,40.8705
17.75,40.9329
17.8,40.9948
17.85,41.0562
17.9,41.1173
17.95,41.1779
18,41.2381
18.05,41.2978
18.1,41.3572
18.15,41.4162
18.2,41.4748
18.25,41.5331
18.3,41.5909
18.35,41.6484
18.4,41.7055
18.45,41.7623
18.5,41.8188
18.55,41.8749
18.6,41.9307
18.65,41.9861
18.7,42.0413
18.75,42.0961
18.8,42.1506
18.85,42.2049
18.9,42.2588
18.95,42.3125
19,42.3659
19.05,42.419
19.1,42.4719
19.15,42.5245
19.2,42.5769
19.25,42.6291
19.3,42.681
19.35,42.7327
19.4,42.7842
19.45,42.8355
19.5,42.8866
19.55,42.9375
19.6,42.9883
19.65,43.0388
19.7,43.0893
19.75,43.1396
19.8,43.1898
19.85,43.2399
19.9,43.2899
19.95,43.3398
20,43.3897
C:\Users\oper\labQT\Lab2025\QTLab2526\SinglePhoton\VNA\CRIO_measures_new\PC2_1_1_P5_3PORT.son DE_EMBEDDED Lk=8.0
FREQUENCY (GHz), DB[Z33]-PC2_1_1_P5_3PORT
2,55.6022
2.05,55.3725
2.1,55.1476
2.15,54.9272
2.2,54.7111
2.25,54.4991
2.3,54.291
2.35,54.0866
2.4,53.8857
2.45,53.6881
2.5,53.4938
2.55,53.3025
2.6,53.1141
2.65,52.9285
2.7,52.7456
2.75,52.5652
2.8,52.3873
2.85,52.2117
2.9,52.0383
2.95,51.867
3,51.6978
3.05,51.5306
3.1,51.3652
3.15,51.2016
3.2,51.0397
3.25,50.8795
3.3,50.7208
3.35,50.5637
3.4,50.408
3.45,50.2537
3.5,50.1008
3.55,49.9491
3.6,49.7986
3.65,49.6493
3.7,49.5011
3.75,49.354
3.8,49.2079
3.85,49.0628
3.9,48.9186
3.95,48.7753
4,48.6328
4.05,48.4912
4.1,48.3503
4.15,48.2101
4.2,48.0706
4.25,47.9318
4.3,47.7936
4.35,47.656
4.4,47.5189
4.45,47.3823
4.5,47.2462
4.55,47.1106
4.6,46.9754
4.65,46.8406
4.7,46.7061
4.75,46.572
4.8,46.4381
4.85,46.3045
4.9,46.1712
4.95,46.0381
5,45.9052
5.05,45.7724
5.1,45.6398
5.15,45.5072
5.2,45.3747
5.25,45.2423
5.3,45.1099
5.35,44.9775
5.4,44.8451
5.45,44.7126
5.5,44.58
5.55,44.4474
5.6,44.3145
5.65,44.1816
5.7,44.0484
5.75,43.915
5.8,43.7813
5.85,43.6474
5.9,43.5132
5.95,43.3786
6,43.2437
6.05,43.1085
6.1,42.9728
6.15,42.8366
6.2,42.7
6.25,42.5629
6.3,42.4252
6.35,42.287
6.4,42.1482
6.45,42.0088
6.5,41.8687
6.55,41.7279
6.6,41.5864
6.65,41.4441
6.7,41.3011
6.75,41.1572
6.8,41.0124
6.85,40.8667
6.9,40.7201
6.95,40.5724
7,40.4238
7.05,40.274
7.1,40.1232
7.15,39.9712
7.2,39.8179
7.25,39.6634
7.3,39.5076
7.35,39.3505
7.4,39.1919
7.45,39.0318
7.5,38.8702
7.55,38.707
7.6,38.5421
7.65,38.3755
7.7,38.2072
7.75,38.0369
7.8,37.8647
7.85,37.6905
7.9,37.5142
7.95,37.3357
8,37.1549
8.05,36.9718
8.1,36.7861
8.15,36.5979
8.2,36.407
8.25,36.2133
8.3,36.0167
8.35,35.817
8.4,35.6141
8.45,35.4079
8.5,35.1982
8.55,34.9848
8.6,34.7676
8.65,34.5463
8.7,34.3209
8.75,34.091
8.8,33.8564
8.85,33.617
8.9,33.3724
8.95,33.1223
9,32.8665
9.05,32.6046
